ZWD;Vnummer;Statutaire Naam;Kontaktpersoon;Mailadres
23EAK;V0023;Flatexploitatievereniging Reigerweg 4a 4 en 6;Pumbaa;pumbaa@disney.com
24;V0024;Vereniging van Eigenaars Commelinstraat 7-13;Aladdin;aladdin@disney.com
25;V0025;Vereniging van Eigenaars Commelinstraat 7-13;Geest;geest@disney.com
26HBO;V0026;"Vereniging van Eigenaars ""mY-side I""";Peter Pan;peter.pan@disney.com
27HBO;V0027;"""vereniging van eigenaars slauerhoffstraat 2-74 te amsterdam"".";Wendy;wendy@disney.com
28HBO;V0028;"""vereniging van eigenaars slauerhoffstraat 2-74 te amsterdam"".";Kapitein Haak;kapitein.haak@disney.com
29HBO;V0029;Vereniging van Eigenaars Zeeburgerstraat te Amsterdam;Tinkerbel;tinkerbel@disney.com
30HBO;V0030;Vereniging van Eigenaars Zeeburgerstraat te Amsterdam;Doornroosje;doornroosje@disney.com
31HBO;V0031;Vereniging Van Eigenaars Van Het Gebouw Pieter Van Der Doesstraat 38, 40, 42 En 44 Te Amsterdam;Aurora;aurora@disney.com
32HBO;V0032;Vereniging Van Eigenaars Van Het Perceel Van Tuyll Van Serooskerkenweg 142 Tot En Met 156 Te Amsterdam (Van Tuyllpark);Buzz Lightyear;buzz.lightyear@disney.com
33HBO;V0033;"Vereniging Van Eigenaars ""Gaasperdam 1""";Woody;woody@disney.com
34HBO;V0034;Vereniging van Eigenaars Woningen Parkeervlakken En Garages Dijkgraafplein E.O. Te Amsterdam;Jessie;jessie@disney.com
35HBO;V0035;Vereniging van Eigenaren flatgebouw Gemeenschapspolderweg genummmerd 101 tot en met 117, 201 tot en met 217 enzovoort, 801 tot en met 817 (oneven) te Weesp;Rex;rex@disney.com
36EAG;V0036;V.V.E. Gebouw A.J. Ernstraat 737-799 En Wijenburg 90-A Te Amsterdam;Mike Wazowski;mike.wazowski@disney.com
37EAG;V0037;Vereniging van Eigenaars van het Gebouw Minervalaan 74/76, te Amsterdam;Sulley;sulley@disney.com
38HBO;V0038;Vereniging van Eigenaars Olifantswerf 14 tot en met 81 en Kattenburgerkruisstraat 5 te Amsterdam;Nemo;nemo@disney.com
39HBO;V0039;"Vereniging Van Eigenaars ""Apollo Te Amsterdam""";Dory;dory@disney.com
40EAG;V0040;Vereniging Van Eigenaars Van Het Gebouw Aalsmeerweg 90 Tot En Met 96 (Even Nummers) Te Amsterdam;Marlin;marlin@disney.com
41HBO;V0041;Vereniging van Eigenaars van het Flatgebouw te Amsterdam, Noorderstraat 71-75;Crush;crush@disney.com
42HBO;V0042;"Vereniging van Eigenaars Cooperatieve Flatexploitatievereniging ""Anton Verheij"" U.A. In Liquidatie";Squirt;squirt@disney.com
43EAG;V0043;Vereniging Van Eigenaars Jan Van Galenstraat 171-175/Admiralengracht 313-319 Amsterdam;Stitch;stitch@disney.com
44EAG;V0044;Vereniging Van Eigenaars Jan Van Galenstraat 171-175/Admiralengracht 313-319 Amsterdam;Lilo;lilo@disney.com
45EAG;V0045;Vereniging Van Eigenaars Amstelhouse I;Mushu;mushu@disney.com
46EAG;V0046;Vereniging Van Eigenaars Weteringschans 134 / Hoek Pieter Pauwstraat 1-3 Te Amsterdam;Shang;shang@disney.com
47EAG;V0047;"Vereniging Van Eigenaars ""De Vrolike Eik Aan De Vrolikstraat Te Amsterdam""";Li Shang;li.shang@disney.com
48HBO;V0048;Vereniging van Eigenaars Gebouwen Alblasstraat 40 t/m 66 (even nrs) en Bernissestraat 35 t/m 61 (oneven nrs) te Amsterdam;Kuzco;kuzco@disney.com
49EAK;V0049;Vereniging van Eigenaars van het gebouw De Clerqstraat 29-31-33, Da Costakade 32 te Amsterdam;Kronk;kronk@disney.com
50EAG;V0050;Vereniging Van Eigenaars Flatgebouw Diogenes Te Amsterdam;Yzma;yzma@disney.com
51EAK;V0051;Vereniging Van Eigenaars Noorderhof Poort 1;Tarzan;tarzan@disney.com
52HBO;V0052;Vereniging Van Eigenaars Leusdenhof 378-410 Te Amsterdam;Jane;jane@disney.com
53HBO;V0053;Vereniging van Eigenaren gebouw Bonairestraat 71 tot en met 87 (oneven) te Amsterdam;Hercules;hercules@disney.com
54HBO;V0054;"""vereniging van eigenaars van der hoopstraat 35 tot en met 51 te amsterdam"".";Megara;megara@disney.com
55EAG;V0055;Vereniging Van Eigenaars Van Het Gebouw Stadzicht Te Amsterdam;Hades;hades@disney.com
56EAG;V0056;"""vereniging van eigenaars panorama torenwijck te amsterdam""";Sebastian;sebastian@disney.com
57HBO;V0057;Vereniging Van Eigenaars Reinwardtstraat 50 tot en met 162 (even nummers) te amsterdam;Flounder;flounder@disney.com
58EAG;V0058;Vereniging Van Eigenaars Van Het Gebouw Sassenheimstraat 16-26 Te Amsterdam;Scuttle;scuttle@disney.com
59EAG;V0059;Vereniging Van Eigenaars Van Het Gebouw Sassenheimstraat 16-26 Te Amsterdam;Ursula;ursula@disney.com
60EAK;V0060;Vereniging Van Eigenaars Admiraal De Ruijterweg 471-473 Te Amsterdam;Koning Triton;koning.triton@disney.com
61EAG;V0061;Vereniging Van Eigenaren Van Het Flatcomplex Schinkelhaven Aan De Amstelveenseweg 106-120 Te Amsterdam;Beast;beast@disney.com
62HBO;V0062;Vereniging van Eigenaars Gebouw Alblasstraat 1 t/m 57 (oneven nrs), Griftstraat 2 t/m 54 (even nrs) en Uiterwaardenstraat 187 t/m 193 (oneven nrs) te Amsterdam;Gaston;gaston@disney.com
63EAK;V0063;Vereniging Van Eigenaren Van Het Flatgebouw Prinsengracht 185;Lumière;lumière@disney.com
64EAG;V0064;Vereniging Van Eigenaars Postjesweg Te Amsterdam;Cogsworth;cogsworth@disney.com
65;V0065;Vereniging Van Eigenaars Torenmolen 1 tot en met 80 te Amsterdam.;Mevrouw Potlood;mevrouw.potlood@disney.com
66EAG;V0066;Vereniging Van Eigenaars Van Het Gebouw Prinsenstede Te Amsterdam;Chip Potlood;chip.potlood@disney.com
67HBO;V0067;Vve Spinnekop 1/80 Te Amsterdam;Jafar;jafar@disney.com
68EAG;V0068;Vereniging van eigenaars gebouw Michelangelostraat 75-101 te Amsterdam;Iago;iago@disney.com
69EAG;V0069;Vereniging van eigenaars gebouw Michelangelostraat 75-101 te Amsterdam;Abu;abu@disney.com
70EAG;V0070;V.V.E. Vechtstraat 89/103 Te Amsterdam;Rajah;rajah@disney.com
71EAK;V0071;Vereniging Van Eigenaars Van De Parkeerplaatsen In Het Gebouw Genaamd: De Hoefsmidt, Omval 1 Tot En Met 427 Te Amsterdam;Nala;nala@disney.com
72HBO;V0072;Vereniging van Eigenaars van het gebouw Derkinderenstraat/Marius Bauerstraat te Amsterdam;Mufasa;mufasa@disney.com
73HBO;V0073;Vereniging Van Eigenaars Van Het Gebouw Gelegen Aan De Hofmeyerstraat 2 Tot En Met 14 (Even Nummers) En Tugelaweg 141 Tot En Met 151 (Doorlopende Nummers) Te Amsterdam;Scar;scar@disney.com
74HBO;V0074;Vereniging Van Eigenaars Van Het Gebouw Gelegen Aan De Hofmeyerstraat 2 Tot En Met 14 (Even Nummers) En Tugelaweg 141 Tot En Met 151 (Doorlopende Nummers) Te Amsterdam;Rafiki;rafiki@disney.com
75EAG;V0075;Vereniging Van Eigenaars Spuistraat 3e En F Te Amsterdam;Zazu;zazu@disney.com
76EAG;V0076;Vereniging van Eigenaars flatgebouw Sinnigvelderstraat nummers 145 tot en met 383 en 145 rood tot en met 203 rood (oneven) te Weesp;Shenzi;shenzi@disney.com
77EAG;V0077;Vereniging van Eigenaars flatgebouw Sinnigvelderstraat nummers 145 tot en met 383 en 145 rood tot en met 203 rood (oneven) te Weesp;Banzai;banzai@disney.com
78EAK;V0078;"Vereniging Van Eigenaars ""De Gouwe Wagen""";Ed;ed@disney.com
79EAK;V0079;"Vereniging Van Eigenaars ""De Gouwe Wagen""";John Smith;john.smith@disney.com
80HBO;V0080;Vereniging Van Eigenaars Gebouw Van Hallstraat 9-19 Te Amsterdam;Meeko;meeko@disney.com
81HBO;V0081;Vereniging Van Eigenaars Gebouw Van Hallstraat 9-19 Te Amsterdam;Flit;flit@disney.com
82HBO;V0082;Vereniging Van Eigenaars Petmolen 1 tot en met 80 te Amsterdam;Percy;percy@disney.com
83EAK;V0083;Vereniging Van Eigenaars Van Het Gebouw Lange Leidsedwarsstraat Te Amsterdam;Grootmoeder Wilg;grootmoeder.wilg@disney.com
84EAG;V0084;"vereniging van eigenaars ""spaarndammercarre blok i"".";Quasimodo;quasimodo@disney.com
85EAG;V0085;"Vereniging Van Eigenaars Van De Koopwoningen In Het Gebouw ""Valentijn"" Te Amsterdam";Esmeralda;esmeralda@disney.com
86EAK;V0086;Vereniging van Eigenaars Honthorststraat 34 te Amsterdam;Phoebus;phoebus@disney.com
87EAG;V0087;"Vereniging Van Eigenaars Gebouw ""Borneo"" Nabij De Borneokade Te Amsterdam";Frollo;frollo@disney.com
88HBO;V0088;"Vereniging Van Eigenaars ""De Haven-Tweeling""";Phil;phil@disney.com
89HBO;V0089;"Vereniging Van Eigenaars Gebouw ""Theophilusstraat 10 Tot En Met 15 Te Amsterdam""";Pegasus;pegasus@disney.com
90HBO;V0090;Vereniging van Eigenaars Gebouw Hoofdweg 180 tot en met 226 (even nummers), Davisstraat 48 tot en met 54 (even nummers) en Hudsonstraat 45 tot en met 71 (oneven nummers) te Amsterdam;Zeus;zeus@disney.com
91HBO;V0091;"Vereniging van Eigenaars van het ""Flatgebouw Jacob van Campen"", Van Boshuizenstraat 583 tot en met 655";Hera;hera@disney.com
92EAG;V0092;Vereniging van Eigenaars van de Middenweg 271 tot en met 325 (oneven), Finsestraat 22 tot en met 76 (even) en Kruislaan 241 tot en met 255 (oneven);Khan;khan@disney.com
93EAG;V0093;Vereniging Van Eigenaars Europaplein 105/127 Te Amsterdam;Yao;yao@disney.com
94EAG;V0094;Vereniging Van Eigenaars Europaplein 105/127 Te Amsterdam;Ling;ling@disney.com
95EAG;V0095;Vereniging Van Eigenaars Europaplein 105/127 Te Amsterdam;Chien-Po;chien-po@disney.com
96EAG;V0096;Vereniging van Ondereigenaars woningen gebouw IJside aan het Barentszplein te Amsterdam;Shan Yu;shan.yu@disney.com
97EAG;V0097;Vereniging van Ondereigenaars woningen gebouw IJside aan het Barentszplein te Amsterdam;Kala;kala@disney.com
98EAK;V0098;Vereniging Van Eigenaars Keizersgracht 642-644 Te Amsterdam;Kerchak;kerchak@disney.com
99HBO;V0099;"""Vereniging Van Eigenaars Matenessehof 1 Tot En Met 36""";Terk;terk@disney.com
100HBO;V0100;"Vereniging Van Eigenaars ""Tweede Jacob van Campenstraat 151 tot en met 157 (oneven nummers) te Amsterdam";Tantor;tantor@disney.com
101EAG;V0101;Vereniging van Eigenaars van Hoogte Kadijk 406 te Amsterdam;Clayton;clayton@disney.com
102HBO;V0102;Vereniging van Eigenaren van het flatgebouw Sportparklaan nummers 265 tot en met 311 (oneven nummers) te Weesp;Pacha;pacha@disney.com
103HBO;V0103;Vereniging van Eigenaren van het flatgebouw Sportparklaan nummers 265 tot en met 311 (oneven nummers) te Weesp;Chicha;chicha@disney.com
104HBO;V0104;Vereniging Van Eigenaars Bos en Lommer 124-144/Kijkduin 1-15;Tipo;tipo@disney.com
105HBO;V0105;Vereniging van Eigenaren van het flatgebouw Henriëtte Roland Holsthof nummers 50 tot en met 96 (even nummers) te Weesp;Chaca;chaca@disney.com
106HBO;V0106;Vereniging van Eigenaren van het flatgebouw Henriëtte Roland Holsthof nummers 50 tot en met 96 (even nummers) te Weesp;Yupi;yupi@disney.com
107HBO;V0107;Vereniging van Eigenaren van het flatgebouw Henriëtte Roland Holsthof nummers 50 tot en met 96 (even nummers) te Weesp;Milo Thatch;milo.thatch@disney.com
108HBO;V0108;Vereniging Van Eigenaars Nepveustraat 39-41,Bonaireplein 2-8 Bonairestraat 10-54 Amsterdam;Kida;kida@disney.com
109HBO;V0109;"Vereniging van eigenaars ""De Kruyswegh III""";Rourke;rourke@disney.com
110EAK;V0110;"Vereniging van Eigenaars ""woningen Jan Evertsenstraat 84""";Vinny;vinny@disney.com
111HBO;V0111;Vereniging van eigenaars serviceflat Zuidwende, aan de De Boelelaan 201 tot en met 401 (oneven nummers) te 1082 RA Amsterdam;Audrey;audrey@disney.com
112EAG;V0112;Vereniging Van Eigenaars Turnerstraat 13 t/m 23 (oneven nummers), Olympiaweg 66 t/m 92 (even nummers), Simsonstraat 10 t/m 16 (even nummers) en Sportstraat 1 t/m 23 (oneven nummers) te Amsterdam;Sweet;sweet@disney.com
113EAG;V0113;Vereniging Van Eigenaars Turnerstraat 13 t/m 23 (oneven nummers), Olympiaweg 66 t/m 92 (even nummers), Simsonstraat 10 t/m 16 (even nummers) en Sportstraat 1 t/m 23 (oneven nummers) te Amsterdam;Mole;mole@disney.com
114EAG;V0114;Vereniging Van Eigenaars Van Het Gebouw Dintelstraat 10/50 Te Amsterdam;Packard;packard@disney.com
115EAG;V0115;Vereniging Van Eigenaars Courbetstraat 7 Tot En Met 21;Nani;nani@disney.com
116HBO;V0116;Vereniging Van Eigenaars Heemraadweg 101 Tot En Met 809 Te Weesp;David;david@disney.com
117EAK;V0117;Vereniging Van Eigenaars Van Het Gebouw Aan De Ruyschstraat 109 Te Amsterdam;Pleakley;pleakley@disney.com
118EAK;V0118;Vereniging van Eigenaars Rustenburgerstraat 328 te Amsterdam;Jumba;jumba@disney.com
119EAK;V0119;Vereniging Van Eigenaars Looiersgracht 21 Te Amsterdam;Gantu;gantu@disney.com
120EAK;V0120;Vereniging Van Eigenaars Jekerstraat 73/73 Te Amsterdam;Cobra Bubbles;cobra.bubbles@disney.com
121EAK;V0121;Vereniging Van Eigenaars Singel 170/172 Te Amsterdam;Mertle;mertle@disney.com
122EAK;V0122;"Vereniging van eigenaars van het gebouw: ""Da Costakade 61 te Amsterdam""";Kenai;kenai@disney.com
123EAK;V0123;Vereniging van Eigenaren van het perceel Orteliusstraat 336;Koda;koda@disney.com
124HBO;V0124;"Vereniging van eigenaars gebouw ""Elckerlijcstraat 24-46, Buskenblaserstraat 30-36 en Marieken van Nimwegenstraat 20 te Amsterdam";Sitka;sitka@disney.com
125HBO;V0125;"Vereniging van eigenaars gebouw ""Elckerlijcstraat 24-46, Buskenblaserstraat 30-36 en Marieken van Nimwegenstraat 20 te Amsterdam";Denahi;denahi@disney.com
126HBO;V0126;"Vereniging van eigenaars gebouw ""Elckerlijcstraat 24-46, Buskenblaserstraat 30-36 en Marieken van Nimwegenstraat 20 te Amsterdam";Rutt;rutt@disney.com
127EAG;V0127;Vereniging van eigenaars Ten Katestraat 53, 55 en 57 te Amsterdam;Tuke;tuke@disney.com
128HBO;V0128;Vereniging Van Eigenaars Het Gebouw Edisonstraat 22 Tot En Met 29 Te Amsterdam;Tanana;tanana@disney.com
129HBO;V0129;Vereniging van Eigenaars Kleiburg 1 tot en met 1010 (blok 74) te Amsterdam Zuidoost;Kip Little;kip.little@disney.com
130HBO;V0130;Vereniging van Eigenaars Kleiburg 1 tot en met 1010 (blok 74) te Amsterdam Zuidoost;Abby Mallard;abby.mallard@disney.com
131HBO;V0131;"Vereniging Van Eigenaars ""De Kruyswegh Ii""";Runt;runt@disney.com
132HBO;V0132;"Vereniging Van Eigenaars ""De Kruyswegh Ii""";Vis;vis@disney.com
133EAG;V0133;"Vereniging van eigenaars van het gebouw ""Frankendael"" aan de Middenweg 109/111/113/113A te Amsterdam";Lewis;lewis@disney.com
134EAG;V0134;"Vereniging van eigenaars van het gebouw ""Frankendael"" aan de Middenweg 109/111/113/113A te Amsterdam";Wilbur;wilbur@disney.com
135EAG;V0135;"Vereniging van eigenaars van het gebouw ""Frankendael"" aan de Middenweg 109/111/113/113A te Amsterdam";Goob;goob@disney.com
136EAG;V0136;"Vereniging Van Eigenaars ""De Armada"" Te Amsterdam";Bolt;bolt@disney.com
137HBO;V0137;Vereniging Van Eigenaars Derde Kostverlorenkade Voorheen Nummers 3, 4 En 5;Penny;penny@disney.com
138HBO;V0138;"V.V.E. Amstel 135a-141f ""Amstelzicht"" Te Amsterdam";Rhino;rhino@disney.com
139HBO;V0139;"V.V.E. Amstel 135a-141f ""Amstelzicht"" Te Amsterdam";Mittens;mittens@disney.com
140HBO;V0140;Vereniging van Eigenaars Schovenstraat en Graanstraat in Betondorp te Amsterdam;Naveen;naveen@disney.com
141EAK;V0141;Vereniging van eigenaren van het gebouw aan de Camperstraat 40, 42, 44 en 46 te Amsterdam;Louis;louis@disney.com
142EAG;V0142;Vereniging Van Eigenaars Van Het Gebouw De Ontdekking Te Amsterdam;Ray;ray@disney.com
143EAG;V0143;Vereniging Van Eigenaars Van Het Gebouw De Ontdekking Te Amsterdam;Charlotte;charlotte@disney.com
144EAG;V0144;Vereniging Van Eigenaars Van Het Gebouw De Ontdekking Te Amsterdam;Dr. Facilier;dr..facilier@disney.com
145EAG;V0145;Vereniging Van Eigenaars Gespleten Hendrik Noord Te Amsterdam;Mama Odie;mama.odie@disney.com
146HBO;V0146;Vereniging van Eigenaars G.J. Rutgers (Churchill-laan 180-218 te Amsterdam);Eudora;eudora@disney.com
147HBO;V0147;"Vereniging van Eigenaars ""Houtrijkstraat 262-338""";James;james@disney.com
148HBO;V0148;"Vereniging van Eigenaars ""Amstelroode""";Big Daddy;big.daddy@disney.com
149HBO;V0149;"Vereniging van Eigenaars ""Amstelroode""";Flynn Rider;flynn.rider@disney.com
150HBO;V0150;"Vereniging van Eigenaars ""Amstelroode""";Pascal;pascal@disney.com
151HBO;V0151;Vereniging van Eigenaars Pieter Calandlaan 231 t/m 445 en J. de Koostraat 1 t/m 17 (oneven nummers);Maximus;maximus@disney.com
152HBO;V0152;Vereniging van Eigenaars Pieter Calandlaan 231 t/m 445 en J. de Koostraat 1 t/m 17 (oneven nummers);Moeder Gothel;moeder.gothel@disney.com
153HBO;V0153;Vereniging van Eigenaars Pieter Calandlaan 231 t/m 445 en J. de Koostraat 1 t/m 17 (oneven nummers);De Stabbington Broers;de.stabbington.broers@disney.com
154HBO;V0154;Vereniging van Eigenaars Betondorp Blok 2;Koningin Elinor;koningin.elinor@disney.com
155HBO;V0155;Ondervereniging Van Eigenaars Van Het Complex Eerste Oosterparkstraat 157 Tot En Met 245 Te Amsterdam;Koning Fergus;koning.fergus@disney.com
156EAK;V0156;"""Vereniging Van Eigenaars Woestduinstraat 143 Huis, Een Hoog En Twee Hoog Te Amsterdam""";De Heks;de.heks@disney.com
157HBO;V0157;Vereniging van eigenaars gebouw Bird 2 te Amsterdam;De Drieling;de.drieling@disney.com
158HBO;V0158;Vereniging van Eigenaars Antony Moddermanstraat 2 tot en met 192 te Amsterdam;Ralph;ralph@disney.com
159HBO;V0159;"Vereniging van Eigenaars ""Parkzicht XVI"", (H. Marsmanstraat 34 tot en met 64 even nummers) te Weesp";Vanellope;vanellope@disney.com
160EAG;V0160;Vereniging van Eigenaars Bartholomeus Diazstraat 18-24 te Amsterdam;Fix-It Felix;fix-it.felix@disney.com
161EAG;V0161;Vereniging van Eigenaars Bartholomeus Diazstraat 18-24 te Amsterdam;Sergeant Calhoun;sergeant.calhoun@disney.com
162HBO;V0162;Vereniging van eigenaars gebouw De Wittenstraat 70-74/Eerste Nassaustraat 15-17 te Amsterdam;Koning Candy;koning.candy@disney.com
163HBO;V0163;"Vereniging Van Eigenaars ""Betondorp Blok 3""";Turbo;turbo@disney.com
164EAK;V0164;Vereniging Van Eigenaars Van Het Pand Derde Schinkelstraat 42/44/46 Te Amsterdam;Kristoff;kristoff@disney.com
165EAK;V0165;Vereniging Van Eigenaars Keizersgracht 746 Te Amsterdam;Olaf;olaf@disney.com
166EAK;V0166;Vereniging Van Eigenaars Keizersgracht 746 Te Amsterdam;Sven;sven@disney.com
167HBO;V0167;Vereniging van Eigenaars Tetterode woningen te Amsterdam;Hans;hans@disney.com
168HBO;V0168;Vereniging van Eigenaars Uiterwaardenstraat 12-88 en Gaaspstraat 57-83 te Amsterdam;Hertog van Weselton;hertog.van.weselton@disney.com
169HBO;V0169;Vereniging van Eigenaars Uiterwaardenstraat 12-88 en Gaaspstraat 57-83 te Amsterdam;Hiro;hiro@disney.com
170HBO;V0170;Vereniging van Eigenaas Brugemeester de Vlugt-laan 61 tot en met 75 (oneven nummers) enTheodorus Dobbestraat 72 tot en met 86 (evennummers) te Amsterdam;Baymax;baymax@disney.com
171HBO;V0171;Vereniging van Eigenaas Brugemeester de Vlugt-laan 61 tot en met 75 (oneven nummers) enTheodorus Dobbestraat 72 tot en met 86 (evennummers) te Amsterdam;Tadashi;tadashi@disney.com
172HBO;V0172;"Vereniging van Eigenaars ""Betondorp blok 4""";Go Go;go.go@disney.com
173HBO;V0173;"Vereniging van Eigenaars ""Betondorp blok 4""";Wasabi;wasabi@disney.com
174HBO;V0174;Vereniging Van Eigenaars Zaanstraat 90 Tot En Met 105 En Adrichemstraat 1 Tot En Met 19 (Oneven Nummers) Te Amsterdam;Honey Lemon;honey.lemon@disney.com
175EAK;V0175;Vereniging Van Eigenaars Hoofdweg 252 Te Amsterdam;Fred;fred@disney.com
176EAK;V0176;Vereniging Van Eigenaars Hofmeyrstraat 38-40 te Amsterdam;Yokai;yokai@disney.com
177HBO;V0177;"Vereniging Van Eigenaars ""Betondorp Blok 1""";Judy Hopps;judy.hopps@disney.com
178HBO;V0178;"Vereniging Van Eigenaars ""Betondorp Blok 1""";Nick Wilde;nick.wilde@disney.com
179HBO;V0179;Vereniging van Eigenaars Jan Zwanenburghof 10 tot en met 27 (doorlopende nummers) en Slotermeerlaan 175 tot en met 185 (oneven nummers) te Amsterdam;Chef Bogo;chef.bogo@disney.com
180HBO;V0180;Vereniging van eigenaars van complex 40, gelegen aan de Jan Mankesstraat 3 tot en met 25 (oneven nummers) te Amsterdam;Burgemeester Leeuwenhart;burgemeester.leeuwenhart@disney.com
181EAK;V0181;Vereniging Van Eigenaars Willem De Zwijgerlaan 55-57 Te Amsterdam;Bellwether;bellwether@disney.com
182HBO;V0182;"Vereniging Van Eigenaars ""Betondorp Blok 5""";Maui;maui@disney.com
183HBO;V0183;"Vereniging Van Eigenaars ""Betondorp Blok 5""";Oma Tala;oma.tala@disney.com
184HBO;V0184;Vereniging van Eigenaars van het gebouw gelegen aan Langswater 3 tot en met 119 te Amsterdam;Tui;tui@disney.com
185HBO;V0185;"Vereniging Van Eigenaars ""Jacob Zuid Te Amsterdam""";Sina;sina@disney.com
186HBO;V0186;V.v.E. van het perceel Granaatstr 1 t/m 17, Jan Lievensstr 19 t/m 93, Diamantstr 102 t/m 132 en 136 t/m 168, Saffierstr 2 t/m 16 en Smaragdplein 7 en 32 en Granaatstr 49 t/m 95 te Amsterdam;Heihei;heihei@disney.com
187HBO;V0187;V.v.E. van het perceel Granaatstr 1 t/m 17, Jan Lievensstr 19 t/m 93, Diamantstr 102 t/m 132 en 136 t/m 168, Saffierstr 2 t/m 16 en Smaragdplein 7 en 32 en Granaatstr 49 t/m 95 te Amsterdam;Pua;pua@disney.com
188EAG;V0188;Vereniging van Eigenaars van het gebouw gelegen aan Elisabeth Boddaertstraat 24 tot en met 38 (even nummers) en Wilhelmina Druckerstraat 7 tot en met 19 (oneven nummers) te Amsterdam;Te Fiti;te.fiti@disney.com
189HBO;V0189;vereniging van eigenaars torenwijck iv te amsterdam;Te Ka;te.ka@disney.com
190HBO;V0190;Vereniging van eigenaars van het gebouw Kempenlaan 61 tot en met 103 te Amsterdam;Tamatoa;tamatoa@disney.com
191HBO;V0191;Vereniging van eigenaars van het gebouw Kempenlaan 61 tot en met 103 te Amsterdam;Miguel;miguel@disney.com
192HBO;V0192;Vereniging van eigenaars van het gebouw Kempenlaan 61 tot en met 103 te Amsterdam;Héctor;hector@disney.com
193HBO;V0193;Vereniging van Eigenaars Gebouw Fazantenweg 9 tot en met 43 (oneven) te Amsterdam;Dante;dante@disney.com
194HBO;V0194;Vereniging van Eigenaars Gebouw Fazantenweg 9 tot en met 43 (oneven) te Amsterdam;Mamá Imelda;mama.imelda@disney.com
195HBO;V0195;Vereniging van Eigenaars Easton II van het gebouw Eastonstraat 101 tot en met 116 te Amsterdam;Ernesto de la Cruz;ernesto.de.la.cruz@disney.com
196HBO;V0196;"“Vereniging van Eigenaars Eastonstraat 213 tot en met 228 te Amsterdam""";Yesss;yesss@disney.com
197EAK;V0197;Vereniging Van Eigenaars Commelinstraat 4, 8 en 10 te Amsterdam;Shank;shank@disney.com
198EAK;V0198;Vereniging Van Eigenaars Commelinstraat 4, 8 en 10 te Amsterdam;KnowsMore;knowsmore@disney.com
199HBO;V0199;Vereniging Van Eigenaren Eastonstraat 85 Tot En Met 100 Te Amsterdam;Timothy Q. Mouse;timothy.q..mouse@disney.com
200HBO;V0200;Vereniging Van Eigenaren Eastonstraat 85 Tot En Met 100 Te Amsterdam;Mevrouw Jumbo;mevrouw.jumbo@disney.com
201HBO;V0201;Vereniging Van Eigenaren Eastonstraat 85 Tot En Met 100 Te Amsterdam;De Circusdirecteur;de.circusdirecteur@disney.com
